Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency
BM_106	1	0.9911057	1216.jpg	33	0	0
BM_106	2	0.9647089	1254.jpg	38	0	0
BM_106	3	0.8651168	1202.jpg	29	0	0
BM_106	4	0.8407682	2124.jpg	61	0	0
BM_106	5	0.8358741	1035.jpg	9	0	0
BM_106	6	0.8255346	1114.jpg	16	0	0
BM_106	7	0.816947	1262.jpg	40	0	0
BM_106	8	0.7876021	1210.jpg	32	0	0
BM_106	9	0.774834	1028.jpg	7	1	1
BM_106	10	0.7552695	2248.jpg	79	1	0
BM_106	11	0.7462148	1182.jpg	25	1	0
BM_106	12	0.7308247	1031.jpg	8	1	1
BM_106	13	0.7225137	2125.jpg	62	1	0
BM_106	14	0.7146718	1027.jpg	6	1	1
BM_106	15	0.7077033	1220.jpg	34	1	1
BM_106	16	0.7071142	2181.jpg	69	1	0
BM_106	17	0.6650421	2212.jpg	73	2	0.5
BM_106	18	0.6631549	2063.jpg	54	2	0
BM_106	19	0.6614921	2010.jpg	43	2	0
BM_106	20	0.6522374	1144.jpg	20	2	0.5
BM_106	21	0.6473869	1050.jpg	10	2	0.5
BM_106	22	0.6400582	2053.jpg	51	2	0
BM_106	23	0.6302603	1007.jpg	1	2	0
BM_106	24	0.6266941	2015.jpg	44	2	0.5
BM_106	25	0.6194787	2016.jpg	45	3	0
BM_106	26	0.6164208	2229.jpg	77	3	0.5
BM_106	27	0.6160081	1073.jpg	14	3	0.5
BM_106	28	0.604977	1013.jpg	3	3	0
BM_106	29	0.5876833	1130.jpg	19	3	0.5
BM_106	30	0.5808233	1052.jpg	11	3	0
BM_106	31	0.5609209	1228.jpg	36	3	0
BM_106	32	0.5603355	2240.jpg	78	3	0.5
BM_106	33	0.5529904	2089.jpg	55	4	1
BM_106	34	0.5433023	1146.jpg	22	4	0
BM_106	35	0.5334554	2154.jpg	66	4	0
BM_106	36	0.5300516	1207.jpg	31	4	1
BM_106	37	0.5098447	1191.jpg	27	4	1
BM_106	38	0.5091789	2094.jpg	56	4	0
BM_106	39	0.5057947	2058.jpg	53	4	0
BM_106	40	0.4973066	2024.jpg	46	4	1
BM_106	41	0.4873484	1255.jpg	39	5	0.5
BM_106	42	0.4848302	2006.jpg	41	5	0
BM_106	43	0.4777354	2054.jpg	52	5	0
BM_106	44	0.4740641	2153.jpg	65	5	0.5
BM_106	45	0.4723226	2217.jpg	74	5	0.5
BM_106	46	0.4684059	2164.jpg	68	5	0
BM_106	47	0.4609812	2218.jpg	75	5	0
BM_106	48	0.4414865	2118.jpg	60	5	0.5
BM_106	49	0.4392129	2249.jpg	80	6	0
BM_106	50	0.4348332	2209.jpg	72	6	1
BM_106	51	0.4263159	1183.jpg	26	6	1
BM_106	52	0.4236347	2045.jpg	50	6	0
BM_106	53	0.4188546	2128.jpg	63	6	0
BM_106	54	0.4075897	1017.jpg	4	6	1
BM_106	55	0.4048841	2041.jpg	48	6	1
BM_106	56	0.3917729	2111.jpg	58	6	0
BM_106	57	0.3730143	1145.jpg	21	7	1
BM_106	58	0.3598889	2155.jpg	67	7	0
BM_106	59	0.3556672	1246.jpg	37	7	0
BM_106	60	0.3315974	2043.jpg	49	7	1
BM_106	61	0.3305833	1019.jpg	5	7	0
BM_106	62	0.3221582	2039.jpg	47	7	1
BM_106	63	0.3135043	2112.jpg	59	7	1
BM_106	64	0.3110006	2201.jpg	71	7	0
BM_106	65	0.2990949	2008.jpg	42	8	0.5
BM_106	66	0.2944165	1060.jpg	13	8	0
BM_106	67	0.2688998	1115.jpg	17	8	0
BM_106	68	0.2531428	2221.jpg	76	8	0.5
BM_106	69	0.239231	1057.jpg	12	8	0
BM_106	70	0.2368882	2110.jpg	57	8	0.5
BM_106	71	0.2366859	1009.jpg	2	8	0.5
BM_106	72	0.2279222	1204.jpg	30	8	0
BM_106	73	0.2189792	1192.jpg	28	0	0
BM_106	74	0.1916543	1173.jpg	24	0	0
BM_106	75	0.1785552	1127.jpg	18	0	0
BM_106	76	0.169897	2149.jpg	64	0	0
BM_106	77	0.1507571	1226.jpg	35	0	0
BM_106	78	0.1247145	1150.jpg	23	0	0
BM_106	79	0.1014933	1080.jpg	15	0	0
BM_106	80	0.09427968	2194.jpg	70	0	0
