subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency
BM_119	NaN	3	1	1	1	NaN	1013.jpg	2039.jpg	54	53	1	NaN	6	NaN	NaN	0.3816993	0.3875882	NaN	1
BM_119	NaN	3	1	1	2	NaN	1050.jpg	1035.jpg	16	12	0	NaN	1	NaN	NaN	0.7469558	0.7680917	NaN	0.5
BM_119	NaN	3	1	1	3	NaN	1173.jpg	1009.jpg	68	72	0	NaN	8	NaN	NaN	0.2482632	0.1930242	NaN	0.5
BM_119	NaN	3	1	1	4	NaN	1130.jpg	2154.jpg	15	13	1	NaN	1	NaN	NaN	0.7515171	0.753316	NaN	0.5
BM_119	NaN	3	1	1	5	NaN	1057.jpg	1173.jpg	67	68	1	NaN	8	NaN	NaN	0.2576245	0.2482632	NaN	0.5
BM_119	NaN	3	1	1	6	NaN	1144.jpg	2128.jpg	60	58	1	NaN	7	NaN	NaN	0.2915766	0.3239752	NaN	1
BM_119	NaN	3	1	1	7	NaN	2008.jpg	2209.jpg	33	35	0	NaN	4	NaN	NaN	0.5928421	0.5543204	NaN	0.5
BM_119	NaN	3	1	1	8	NaN	1031.jpg	2010.jpg	18	21	0	NaN	2	NaN	NaN	0.7381829	0.6919009	NaN	1
BM_119	NaN	3	1	1	9	NaN	1228.jpg	2110.jpg	69	71	1	NaN	8	NaN	NaN	0.2467477	0.230984	NaN	0.5
BM_119	NaN	3	1	1	10	NaN	2053.jpg	1191.jpg	38	37	1	NaN	4	NaN	NaN	0.5304608	0.534834	NaN	0.5
BM_119	NaN	3	1	1	11	NaN	2209.jpg	1182.jpg	35	36	1	NaN	4	NaN	NaN	0.5543204	0.5463091	NaN	0.5
BM_119	NaN	3	1	1	12	NaN	1035.jpg	2154.jpg	12	13	1	NaN	1	NaN	NaN	0.7680917	0.753316	NaN	0.5
BM_119	NaN	3	1	1	13	NaN	1226.jpg	1183.jpg	56	50	0	NaN	6	NaN	NaN	0.3436085	0.3983811	NaN	1
BM_119	NaN	3	1	1	14	NaN	2058.jpg	2024.jpg	52	55	0	NaN	6	NaN	NaN	0.3893553	0.3755519	NaN	1
BM_119	NaN	3	1	1	15	NaN	2118.jpg	2016.jpg	41	46	0	NaN	5	NaN	NaN	0.4838292	0.4430272	NaN	0.5
BM_119	NaN	3	1	1	16	NaN	1057.jpg	2194.jpg	67	70	1	NaN	8	NaN	NaN	0.2576245	0.2356058	NaN	0.5
BM_119	NaN	3	1	1	17	NaN	2240.jpg	1220.jpg	42	44	1	NaN	5	NaN	NaN	0.4788494	0.4465992	NaN	0.5
BM_119	NaN	3	1	1	18	NaN	2212.jpg	2149.jpg	26	31	1	NaN	3	NaN	NaN	0.6314057	0.5949975	NaN	1
BM_119	NaN	3	1	1	19	NaN	1228.jpg	1173.jpg	69	68	1	NaN	8	NaN	NaN	0.2467477	0.2482632	NaN	0.5
BM_119	NaN	3	1	1	20	NaN	1216.jpg	1007.jpg	61	57	0	NaN	7	NaN	NaN	0.2852914	0.3245116	NaN	1
BM_119	NaN	3	1	1	21	NaN	2164.jpg	2111.jpg	65	66	0	NaN	8	NaN	NaN	0.2672884	0.2651134	NaN	0.5
BM_119	NaN	3	1	1	22	NaN	2194.jpg	1228.jpg	70	69	0	NaN	8	NaN	NaN	0.2356058	0.2467477	NaN	0.5
BM_119	NaN	3	1	1	23	NaN	1052.jpg	2209.jpg	40	35	0	NaN	4	NaN	NaN	0.5079574	0.5543204	NaN	0.5
BM_119	NaN	3	1	1	24	NaN	2045.jpg	2217.jpg	27	28	1	NaN	3	NaN	NaN	0.6164302	0.6105399	NaN	1
BM_119	NaN	3	1	1	25	NaN	2201.jpg	1073.jpg	32	25	1	NaN	3	NaN	NaN	0.5935071	0.6666535	NaN	1
BM_119	NaN	3	1	1	26	NaN	2041.jpg	2221.jpg	10	14	0	NaN	1	NaN	NaN	0.7829232	0.7520143	NaN	0.5
BM_119	NaN	3	1	1	27	NaN	1009.jpg	2164.jpg	72	65	1	NaN	8	NaN	NaN	0.1930242	0.2672884	NaN	0.5
BM_119	NaN	3	1	1	28	NaN	1144.jpg	1192.jpg	60	64	1	NaN	7	NaN	NaN	0.2915766	0.282221	NaN	1
BM_119	NaN	3	1	1	29	NaN	2063.jpg	2212.jpg	30	26	0	NaN	3	NaN	NaN	0.5972959	0.6314057	NaN	1
BM_119	NaN	3	1	1	30	NaN	1145.jpg	2128.jpg	62	58	1	NaN	7	NaN	NaN	0.2829222	0.3239752	NaN	1
BM_119	NaN	3	1	1	31	NaN	2045.jpg	2149.jpg	27	31	1	NaN	3	NaN	NaN	0.6164302	0.5949975	NaN	1
BM_119	NaN	3	1	1	32	NaN	1246.jpg	1013.jpg	49	54	0	NaN	6	NaN	NaN	0.3989904	0.3816993	NaN	1
BM_119	NaN	3	1	1	33	NaN	2089.jpg	1191.jpg	39	37	1	NaN	4	NaN	NaN	0.5225241	0.534834	NaN	0.5
