subjectID	order	stimName	itemIndABC	bidInd	runtrial	isOld?	subjectAnswerIsOld	isBeep?	subjectAnswerIsBeep	onsettime	resp_choice	RT
BMI_bs_40_118	 2	 GumiWine2.bmp	 17	 44	 1	 1	 1	 0	 0	 1.165193e-02	 u	 5.156145e+00	 
BMI_bs_40_118	 2	 KashitSour.bmp	 20	 9	 2	 1	 1	 1	 1	 6.719411e+00	 i	 9.610276e-01	 
BMI_bs_40_118	 2	 ChocolateParaMilk3.bmp	 7	 17	 3	 1	 1	 1	 1	 9.238836e+00	 i	 9.167042e-01	 
BMI_bs_40_118	 2	 Tictac.bmp	 27	 54	 4	 1	 1	 1	 1	 1.170847e+01	 i	 6.846835e-01	 
BMI_bs_40_118	 2	 DoritosGrill.bmp	 14	 53	 5	 1	 1	 0	 0	 1.394414e+01	 u	 1.611662e+00	 
BMI_bs_40_118	 2	 BabyDoll.bmp	 2	 48	 6	 1	 1	 1	 1	 1.711433e+01	 i	 7.665644e-01	 
BMI_bs_40_118	 2	 Mentos.bmp	 22	 52	 7	 1	 1	 0	 0	 1.943356e+01	 u	 1.072454e+00	 
BMI_bs_40_118	 2	 BagaleShtuhim.bmp	 3	 45	 8	 1	 1	 0	 0	 2.205325e+01	 u	 1.452909e+00	 
BMI_bs_40_118	 2	 GumiSnakes3.bmp	 16	 47	 9	 1	 1	 0	 0	 2.505665e+01	 u	 9.371371e-01	 
BMI_bs_40_118	 2	 ClickBalls5.bmp	 9	 16	 10	 1	 1	 1	 1	 2.754276e+01	 i	 9.261325e-01	 
BMI_bs_40_118	 2	 BisliOnion.bmp	 5	 43	 11	 1	 1	 1	 1	 3.002884e+01	 i	 7.651560e-01	 
BMI_bs_40_118	 2	 ClickBisquit2.bmp	 10	 7	 12	 1	 1	 0	 0	 3.234803e+01	 u	 1.083571e+00	 
BMI_bs_40_118	 2	 Tortit.bmp	 28	 55	 13	 1	 1	 0	 0	 3.498447e+01	 u	 8.097129e-01	 
BMI_bs_40_118	 2	 Apropo.bmp	 1	 12	 14	 1	 1	 0	 0	 3.735366e+01	 u	 1.453242e+00	 
BMI_bs_40_118	 2	 ClickBlackWhite3.bmp	 11	 10	 15	 1	 1	 0	 0	 4.035714e+01	 u	 9.623421e-01	 
BMI_bs_40_118	 2	 BisliGrill.bmp	 4	 56	 16	 1	 1	 0	 0	 4.287658e+01	 u	 1.080514e+00	 
BMI_bs_40_118	 2	 Dubonim.bmp	 15	 51	 17	 1	 1	 1	 1	 4.551288e+01	 i	 8.193358e-01	 
BMI_bs_40_118	 2	 Keifli.bmp	 21	 50	 18	 1	 1	 0	 0	 4.788219e+01	 u	 1.062638e+00	 
BMI_bs_40_118	 2	 ClickXLbrown4.bmp	 12	 15	 19	 1	 1	 0	 0	 5.050191e+01	 u	 1.968094e+00	 
BMI_bs_40_118	 2	 SkittlesFruits2.bmp	 24	 11	 20	 1	 1	 1	 1	 5.402244e+01	 i	 1.697712e+00	 
BMI_bs_40_118	 2	 Popco.bmp	 23	 49	 21	 1	 1	 1	 1	 5.727599e+01	 i	 8.067786e-01	 
BMI_bs_40_118	 2	 Bounty.bmp	 6	 14	 22	 1	 1	 1	 1	 5.962864e+01	 i	 1.304252e+00	 
BMI_bs_40_118	 2	 HispusimShatiah.bmp	 18	 5	 23	 1	 1	 0	 0	 6.248185e+01	 u	 9.011338e-01	 
BMI_bs_40_118	 2	 ChocolateParaSucariotKoftzot2.bmp	 8	 13	 24	 1	 1	 0	 0	 6.493469e+01	 u	 1.123430e+00	 
BMI_bs_40_118	 2	 Taami.bmp	 25	 18	 25	 1	 1	 0	 0	 6.760428e+01	 u	 1.016454e+00	 
BMI_bs_40_118	 2	 ClickXLwhite4.bmp	 13	 6	 26	 1	 1	 0	 0	 7.017390e+01	 u	 8.094486e-01	 
BMI_bs_40_118	 2	 Tapuchips.bmp	 26	 46	 27	 1	 1	 1	 1	 7.254322e+01	 i	 2.790315e+00	 
BMI_bs_40_118	 2	 Hit.bmp	 19	 8	 28	 1	 1	 1	 1	 7.688130e+01	 i	 9.398420e-01	 
